"event","month","events","distinct_users"
"custom_events_app_opened",2025-11-01,151,55
"custom_events_project_created",2025-11-01,36,29
"custom_events_node_added",2025-11-01,62,24
"custom_events_dataset_added",2025-11-01,68,19
"custom_events_code_viewed",2025-11-01,53,18
"custom_events_project_exported",2025-11-01,12,10
"custom_events_project_updated",2025-11-01,5,3
"custom_events_app_opened",2025-12-01,91,45
"custom_events_project_created",2025-12-01,18,17
"custom_events_dataset_added",2025-12-01,43,13
"custom_events_node_added",2025-12-01,26,10
"custom_events_code_viewed",2025-12-01,51,10
"custom_events_project_exported",2025-12-01,3,3
"custom_events_app_opened",2026-01-01,43,16
"custom_events_project_created",2026-01-01,5,5
"custom_events_code_viewed",2026-01-01,7,4
"custom_events_dataset_added",2026-01-01,6,4
"custom_events_node_added",2026-01-01,3,3
"custom_events_project_exported",2026-01-01,1,1
"custom_events_app_opened",2026-02-01,69,34
"custom_events_project_updated",2026-02-01,7,7
"custom_events_project_created",2026-02-01,3,3
"custom_events_dataset_added",2026-02-01,2,2
"custom_events_node_added",2026-02-01,2,1
"custom_events_code_viewed",2026-02-01,1,1
"custom_events_project_exported",2026-02-01,1,1
"custom_events_app_opened",2026-03-01,27,10
"custom_events_project_created",2026-03-01,2,2
"custom_events_project_updated",2026-03-01,1,1
"custom_events_dataset_added",2026-03-01,1,1
"custom_events_app_opened",2026-04-01,21,10
"custom_events_project_created",2026-04-01,2,2
"custom_events_feedback_submitted",2026-04-01,1,1
"custom_events_app_opened",2026-05-01,39,16
"custom_events_project_created",2026-05-01,6,6
"custom_events_dataset_added",2026-05-01,17,5
"custom_events_node_added",2026-05-01,8,3
"custom_events_code_viewed",2026-05-01,9,2
"custom_events_project_exported",2026-05-01,1,1
"custom_events_project_updated",2026-05-01,3,1
"custom_events_app_opened",2026-06-01,41,10
"custom_events_project_created",2026-06-01,5,5
"custom_events_dataset_added",2026-06-01,2,2
"custom_events_code_viewed",2026-06-01,5,2
"custom_events_node_added",2026-06-01,1,1
"custom_events_app_opened",2026-07-01,31,7
"custom_events_project_created",2026-07-01,4,3
"custom_events_code_viewed",2026-07-01,3,2
"custom_events_dataset_added",2026-07-01,2,1
"custom_events_node_added",2026-07-01,2,1
"custom_events_feedback_submitted",2026-07-01,1,1
"custom_events_project_updated",2026-07-01,1,1
"custom_events_project_exported",2026-07-01,2,1
"custom_events_app_opened",2026-08-01,18,11
"custom_events_node_added",2026-08-01,2,2
"custom_events_dataset_added",2026-08-01,2,2
"custom_events_project_created",2026-08-01,1,1
"custom_events_project_updated",2026-08-01,1,1
