"event","events","distinct_users","first_seen","last_seen"
"custom_events_app_opened",513,170,2025-11-05,2026-07-31
"custom_events_project_created",81,70,2025-11-05,2026-07-31
"custom_events_dataset_added",141,45,2025-11-05,2026-07-31
"custom_events_node_added",104,41,2025-11-07,2026-07-31
"custom_events_code_viewed",129,34,2025-11-05,2026-07-31
"custom_events_project_exported",20,16,2025-11-07,2026-07-31
"custom_events_project_updated",17,13,2025-11-20,2026-07-31
"custom_events_items_copied",25,6,2025-11-21,2026-05-05
"custom_events_items_pasted",22,5,2025-11-21,2026-05-05
"custom_events_feedback_submitted",2,2,2026-04-24,2026-07-30
"custom_events_kedro_vscode_command",7,2,2024-09-03,2024-09-10
"custom_events_kedro_runkedroviz",25,1,2024-09-04,2024-09-12
