"cohort_month","month_offset","active_users","cohort_size","retention_pct"
"2024-11",0,330,330,100
"2024-11",1,208,330,63.03
"2024-11",2,150,330,45.45
"2024-11",3,114,330,34.55
"2024-11",4,94,330,28.48
"2024-11",5,77,330,23.33
"2024-11",6,70,330,21.21
"2024-11",7,57,330,17.27
"2024-11",8,56,330,16.97
"2024-11",9,44,330,13.33
"2024-11",10,48,330,14.55
"2024-11",11,45,330,13.64
"2024-11",12,32,330,9.7
"2024-12",0,281,281,100
"2024-12",1,193,281,68.68
"2024-12",2,105,281,37.37
"2024-12",3,80,281,28.47
"2024-12",4,78,281,27.76
"2024-12",5,72,281,25.62
"2024-12",6,56,281,19.93
"2024-12",7,58,281,20.64
"2024-12",8,46,281,16.37
"2024-12",9,42,281,14.95
"2024-12",10,41,281,14.59
"2024-12",11,32,281,11.39
"2024-12",12,25,281,8.9
"2025-01",0,315,315,100
"2025-01",1,204,315,64.76
"2025-01",2,128,315,40.63
"2025-01",3,107,315,33.97
"2025-01",4,82,315,26.03
"2025-01",5,74,315,23.49
"2025-01",6,62,315,19.68
"2025-01",7,48,315,15.24
"2025-01",8,53,315,16.83
"2025-01",9,44,315,13.97
"2025-01",10,45,315,14.29
"2025-01",11,43,315,13.65
"2025-01",12,32,315,10.16
"2025-02",0,294,294,100
"2025-02",1,218,294,74.15
"2025-02",2,131,294,44.56
"2025-02",3,102,294,34.69
"2025-02",4,81,294,27.55
"2025-02",5,79,294,26.87
"2025-02",6,55,294,18.71
"2025-02",7,51,294,17.35
"2025-02",8,44,294,14.97
"2025-02",9,41,294,13.95
"2025-02",10,37,294,12.59
"2025-02",11,26,294,8.84
"2025-02",12,32,294,10.88
"2025-03",0,357,357,100
"2025-03",1,233,357,65.27
"2025-03",2,153,357,42.86
"2025-03",3,115,357,32.21
"2025-03",4,95,357,26.61
"2025-03",5,63,357,17.65
"2025-03",6,55,357,15.41
"2025-03",7,43,357,12.04
"2025-03",8,41,357,11.48
"2025-03",9,37,357,10.36
"2025-03",10,41,357,11.48
"2025-03",11,33,357,9.24
"2025-03",12,29,357,8.12
"2025-04",0,340,340,100
"2025-04",1,236,340,69.41
"2025-04",2,142,340,41.76
"2025-04",3,118,340,34.71
"2025-04",4,98,340,28.82
"2025-04",5,86,340,25.29
"2025-04",6,71,340,20.88
"2025-04",7,56,340,16.47
"2025-04",8,47,340,13.82
"2025-04",9,56,340,16.47
"2025-04",10,50,340,14.71
"2025-04",11,45,340,13.24
"2025-04",12,43,340,12.65
"2025-05",0,342,342,100
"2025-05",1,253,342,73.98
"2025-05",2,141,342,41.23
"2025-05",3,94,342,27.49
"2025-05",4,81,342,23.68
"2025-05",5,62,342,18.13
"2025-05",6,53,342,15.5
"2025-05",7,46,342,13.45
"2025-05",8,43,342,12.57
"2025-05",9,39,342,11.4
"2025-05",10,39,342,11.4
"2025-05",11,37,342,10.82
"2025-05",12,35,342,10.23
"2025-06",0,323,323,100
"2025-06",1,219,323,67.8
"2025-06",2,121,323,37.46
"2025-06",3,88,323,27.24
"2025-06",4,83,323,25.7
"2025-06",5,58,323,17.96
"2025-06",6,52,323,16.1
"2025-06",7,42,323,13
"2025-06",8,35,323,10.84
"2025-06",9,35,323,10.84
"2025-06",10,31,323,9.6
"2025-06",11,31,323,9.6
"2025-06",12,29,323,8.98
"2025-07",0,348,348,100
"2025-07",1,255,348,73.28
"2025-07",2,148,348,42.53
"2025-07",3,119,348,34.2
"2025-07",4,77,348,22.13
"2025-07",5,65,348,18.68
"2025-07",6,52,348,14.94
"2025-07",7,48,348,13.79
"2025-07",8,48,348,13.79
"2025-07",9,45,348,12.93
"2025-07",10,41,348,11.78
"2025-07",11,26,348,7.47
"2025-08",0,320,320,100
"2025-08",1,209,320,65.31
"2025-08",2,123,320,38.44
"2025-08",3,84,320,26.25
"2025-08",4,60,320,18.75
"2025-08",5,51,320,15.94
"2025-08",6,49,320,15.31
"2025-08",7,53,320,16.56
"2025-08",8,47,320,14.69
"2025-08",9,41,320,12.81
"2025-08",10,29,320,9.06
"2025-09",0,345,345,100
"2025-09",1,259,345,75.07
"2025-09",2,146,345,42.32
"2025-09",3,88,345,25.51
"2025-09",4,74,345,21.45
"2025-09",5,60,345,17.39
"2025-09",6,48,345,13.91
"2025-09",7,43,345,12.46
"2025-09",8,31,345,8.99
"2025-09",9,26,345,7.54
"2025-10",0,413,413,100
"2025-10",1,305,413,73.85
"2025-10",2,170,413,41.16
"2025-10",3,122,413,29.54
"2025-10",4,91,413,22.03
"2025-10",5,81,413,19.61
"2025-10",6,74,413,17.92
"2025-10",7,53,413,12.83
"2025-10",8,47,413,11.38
"2025-11",0,383,383,100
"2025-11",1,264,383,68.93
"2025-11",2,164,383,42.82
"2025-11",3,111,383,28.98
"2025-11",4,79,383,20.63
"2025-11",5,64,383,16.71
"2025-11",6,55,383,14.36
"2025-11",7,48,383,12.53
"2025-12",0,278,278,100
"2025-12",1,187,278,67.27
"2025-12",2,115,278,41.37
"2025-12",3,80,278,28.78
"2025-12",4,61,278,21.94
"2025-12",5,47,278,16.91
"2025-12",6,36,278,12.95
"2026-01",0,307,307,100
"2026-01",1,213,307,69.38
"2026-01",2,122,307,39.74
"2026-01",3,79,307,25.73
"2026-01",4,71,307,23.13
"2026-01",5,60,307,19.54
"2026-02",0,331,331,100
"2026-02",1,245,331,74.02
"2026-02",2,140,331,42.3
"2026-02",3,104,331,31.42
"2026-02",4,72,331,21.75
"2026-03",0,405,405,100
"2026-03",1,300,405,74.07
"2026-03",2,168,405,41.48
"2026-03",3,119,405,29.38
"2026-04",0,411,411,100
"2026-04",1,320,411,77.86
"2026-04",2,174,411,42.34
