"country_code","COUNT"
"FO",2
"YE",3
"ZM",2
"UA",1413
"TH",5030
"IR",1939
"RO",435
"RW",17
"JO",37
"BY",51
"GH",62
"BO",31
"UG",12
"SN",5
"BF",1
"MN",1
"JP",833337
"VN",3230
"SK",1014
"GR",903
"SI",353
"CM",154
"SD",4
"CI",20
"LB",157
"OM",15
"MK",13
"CG",3
"GA",7
"MC",4
"NI",3
"KW",1
"IM",1
"US",17719891
"IE",1218463
"CA",240049
"CZ",1999
"PR",4150
"GB",128020
"CO",9147
"DK",2540
"SA",1763
"MT",430
"LV",1143
"LU",226
"NP",50
"EE",1592
"CD",42
"GF",30
"TN",457
"MO",14
"AO",11
"JM",4
"MD",14
"AD",8
"NA",3
"SC",1
"NL",1368556
"BE",232520
"ID",2834
"AU",672750
"CR",867
"CL",13108
"RS",263
"DZ",106
"KZ",654
"IS",208
"NG",136
"HN",9
"NO",1297
"BH",126
"ME",3
"PS",16
"BW",2
"VG",1
"VC",4
"SG",1151565
"AE",10762
"IN",69417
"BR",151014
"CH",50964
"HK",19300
"GE",728
"MA",1276
"AR",1763
"ES",13031
"PT",4765
"TW",5739
"LT",1781
"FI",20702
"BG",353
"UY",151
"MG",15
"EG",567
"AL",65
"IL",6688
"BD",223
"AZ",111
"NC",21
"SV",13
"HR",262
"KE",380
"MM",7
"TT",5
"LI",4
"GD",1
"ST",1
"PG",2
"FR",64828
"ZA",91643
"AT",4450
"GT",1063
"PE",1621
"PK",312
"IT",24062
"NZ",1029
"HU",737
"TR",1801
"EC",443
"AM",94
"QA",76
,16
"CN",22857
"MX",5999
"RU",15792
"ZW",124
"LK",327
"KR",21051
"MY",3891
"DO",317
"BA",55
"UZ",97
"LY",36
"PY",69
"TG",318
"IQ",90
"MR",2
"GY",1
"DE",338647
"PL",80884
"SE",58594
"PH",1601
"MU",160
"PA",658
"GI",22
"KH",29
"ET",38
"ML",20
"CY",55
"EU",30
"VE",54
"KG",7
"MW",8
"BB",5
