"namespace","is_genai","tool","dataset_class","unique_users","project_runs","total_catalog_entries","first_seen","last_seen"
"genai",true,"ALL GenAI datasets","ALL GenAI datasets",24,398,1810,2026-05-29,2026-08-28
"experimental",true,"LangChain prompt","kedro_datasets_experimental_langchain_prompt_dataset_promptdataset",15,236,923,2026-05-29,2026-08-28
"core",true,"LangChain (chat / embeddings)","kedro_datasets_langchain_chat_openai_dataset_chatopenaidataset",12,197,321,2026-06-03,2026-08-24
"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_trace_dataset_tracedataset",9,71,172,2026-06-03,2026-08-24
"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_evaluation_dataset_evaluationdataset",8,68,68,2026-06-03,2026-08-12
"experimental",true,"ChromaDB (vector store)","kedro_datasets_experimental_chromadb_chromadb_dataset_chromadbdataset",6,92,92,2026-05-29,2026-08-28
"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_prompt_dataset_promptdataset",6,38,72,2026-06-03,2026-08-24
"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_trace_dataset_tracedataset",4,32,79,2026-06-03,2026-08-12
"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_prompt_dataset_promptdataset",4,32,47,2026-06-03,2026-08-12
"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_evaluation_dataset_evaluationdataset",3,15,15,2026-06-17,2026-08-12
"experimental",true,"LangChain prompt","kedro_datasets_experimental_langchain_promptdataset",1,1,13,2026-07-22,2026-07-22
"core",true,"LangChain (chat / embeddings)","kedro_datasets_langchain_openai_embeddings_dataset_openaiembeddingsdataset",1,8,8,2026-06-22,2026-06-22
"experimental",false,"feast","kedro_datasets_experimental_feast_feast_dataset_feastdataset",41,62,188,2026-07-15,2026-07-20
"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_model_mlrunmodel",3,4,8,2026-06-15,2026-06-16
"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_df_dataset_mlrundataframedataset",3,4,4,2026-06-15,2026-06-16
"experimental",false,"netcdf","kedro_datasets_experimental_netcdf_netcdf_dataset_netcdfdataset",3,60,106,2026-06-18,2026-08-25
"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_result_mlrunresult",3,4,4,2026-06-15,2026-06-16
"experimental",false,"optuna","kedro_datasets_experimental_optuna_study_dataset_studydataset",1,32,252,2026-08-02,2026-08-06
"experimental",false,"pypdf","kedro_datasets_experimental_pypdf_pdf_dataset_pdfdataset",1,25,48,2026-08-26,2026-08-26
"experimental",false,"pytorch","kedro_datasets_experimental_pytorch_pytorch_dataset_pytorchdataset",1,32,194,2026-08-02,2026-08-06
"experimental",,"ALL experimental datasets","ALL experimental datasets",66,453,2285,2026-05-29,2026-08-28
