YEAR_MONTH,FIRST_TWO_WORDS,UNIQUE_USERS
2024-10,kedro mlflow,24
2024-10,kedro docker,21
2024-10,kedro airflow,7
2024-10,kedro databricks,4
2024-10,kedro boot,3
2024-10,kedro vertexai,2
2024-10,kedro kubeflow,2
2024-10,kedro gql,1
2024-10,kedro azureml,1
2024-11,kedro docker,24
2024-11,kedro mlflow,17
2024-11,kedro airflow,6
2024-11,kedro gql,3
2024-11,kedro databricks,3
2024-11,kedro boot,2
2024-11,kedro azureml,2
2024-11,kedro vertexai,2
2024-11,kedro sagemaker,1
2024-12,kedro docker,22
2024-12,kedro mlflow,22
2024-12,kedro airflow,10
2024-12,kedro azureml,6
2024-12,kedro databricks,4
2024-12,kedro sagemaker,2
2024-12,kedro gql,1
2024-12,kedro kubeflow,1
2025-01,kedro mlflow,25
2025-01,kedro docker,22
2025-01,kedro airflow,7
2025-01,kedro sagemaker,3
2025-01,kedro vertexai,2
2025-01,kedro gql,2
2025-01,kedro databricks,2
2025-01,kedro boot,1
2025-01,kedro azureml,1
2025-02,kedro mlflow,31
2025-02,kedro docker,11
2025-02,kedro airflow,8
2025-02,kedro databricks,7
2025-02,kedro gql,4
2025-02,kedro boot,1
2025-02,kedro sagemaker,1
2025-02,kedro vertexai,1
2025-03,kedro mlflow,34
2025-03,kedro databricks,11
2025-03,kedro docker,8
2025-03,kedro airflow,7
2025-03,kedro gql,4
2025-03,kedro azureml,3
2025-03,kedro sagemaker,2
2025-04,kedro mlflow,29
2025-04,kedro docker,15
2025-04,kedro airflow,12
2025-04,kedro databricks,5
2025-04,kedro gql,2
2025-04,kedro azureml,1
2025-05,kedro mlflow,63
2025-05,kedro docker,23
2025-05,kedro airflow,12
2025-05,kedro azureml,3
2025-05,kedro gql,3
2025-05,kedro databricks,3
2025-05,kedro vertexai,2
2025-05,kedro kubeflow,1
2025-05,kedro coda,1
2025-06,kedro mlflow,48
2025-06,kedro docker,19
2025-06,kedro airflow,14
2025-06,kedro databricks,8
2025-06,kedro gql,4
2025-06,kedro vertexai,4
2025-06,kedro azureml,3
2025-06,kedro coda,3
2025-06,kedro sagemaker,2
2025-06,kedro boot,1
2025-06,kedro kubeflow,1
2025-07,kedro mlflow,31
2025-07,kedro airflow,14
2025-07,kedro docker,9
2025-07,kedro databricks,6
2025-07,kedro coda,5
2025-07,kedro gql,4
2025-07,kedro vertexai,3
2025-07,kedro azureml,3
2025-07,kedro boot,3
2025-07,kedro sagemaker,1
2025-07,kedro kubeflow,1
2025-08,kedro mlflow,24
2025-08,kedro airflow,10
2025-08,kedro databricks,9
2025-08,kedro docker,7
2025-08,kedro azureml,5
2025-08,kedro coda,4
2025-08,kedro gql,4
2025-08,kedro sagemaker,1
2025-09,kedro mlflow,28
2025-09,kedro airflow,13
2025-09,kedro databricks,7
2025-09,kedro gql,6
2025-09,kedro docker,4
2025-09,kedro sagemaker,3
2025-09,kedro azureml,2
2025-09,kedro coda,2
2025-09,kedro vertexai,1
2025-10,kedro mlflow,30
2025-10,kedro airflow,13
2025-10,kedro docker,12
2025-10,kedro databricks,8
2025-10,kedro azureml,6
2025-10,kedro sagemaker,6
2025-10,kedro gql,4
2025-10,kedro coda,3
2025-11,kedro mlflow,35
2025-11,kedro airflow,10
2025-11,kedro databricks,9
2025-11,kedro docker,8
2025-11,kedro azureml,5
2025-11,kedro sagemaker,4
2025-11,kedro coda,3
2025-11,kedro gql,2
2025-11,kedro vertexai,1
2025-11,kedro boot,1
2025-12,kedro mlflow,24
2025-12,kedro docker,13
2025-12,kedro airflow,10
2025-12,kedro databricks,9
2025-12,kedro azureml,5
2025-12,kedro boot,4
2025-12,kedro sagemaker,3
2025-12,kedro gql,2
2025-12,kedro coda,2
2025-12,kedro vertexai,1
2026-01,kedro mlflow,24
2026-01,kedro docker,12
2026-01,kedro airflow,11
2026-01,kedro azureml,9
2026-01,kedro databricks,8
2026-01,kedro gql,4
2026-01,kedro coda,2
2026-01,kedro vertexai,2
2026-01,kedro sagemaker,1
2026-02,kedro mlflow,24
2026-02,kedro docker,11
2026-02,kedro databricks,7
2026-02,kedro airflow,6
2026-02,kedro azureml,6
2026-02,kedro gql,3
2026-02,kedro coda,1
2026-03,kedro mlflow,24
2026-03,kedro docker,12
2026-03,kedro airflow,8
2026-03,kedro databricks,8
2026-03,kedro gql,5
2026-03,kedro azureml,4
2026-03,kedro sagemaker,1
2026-03,kedro vertexai,1
2026-03,kedro coda,1
2026-04,kedro databricks,4
2026-04,kedro mlflow,4
2026-04,kedro airflow,2
2026-04,kedro coda,1
2026-04,kedro gql,1
