"year_month","max_version_prefix","mau"
"2024-10","0.17",1
"2024-10","0.18",117
"2024-10","0.19",708
"2024-11","0.17",2
"2024-11","0.18",123
"2024-11","0.19",777
"2024-12","0.17",1
"2024-12","0.18",129
"2024-12","0.19",734
"2025-01","0.18",128
"2025-01","0.19",876
"2025-02","0.17",1
"2025-02","0.18",113
"2025-02","0.19",898
"2025-03","0.18",110
"2025-03","0.19",1015
"2025-04","0.18",119
"2025-04","0.19",1091
"2025-05","0.18",115
"2025-05","0.19",1141
"2025-06","0.17",2
"2025-06","0.18",110
"2025-06","0.19",1190
"2025-06","1.0.",8
"2025-07","0.17",2
"2025-07","0.18",112
"2025-07","0.19",1187
"2025-07","1.0.",103
"2025-08","0.17",1
"2025-08","0.18",90
"2025-08","0.19",953
"2025-08","1.0.",334
"2025-09","0.17",1
"2025-09","0.18",79
"2025-09","0.19",880
"2025-09","1.0.",458
"2025-10","0.17",1
"2025-10","0.18",81
"2025-10","0.19",856
"2025-10","1.0.",610
"2025-11","0.17",1
"2025-11","0.18",86
"2025-11","0.19",757
"2025-11","1.0.",657
"2025-11","1.1.",48
"2025-12","0.17",1
"2025-12","0.18",76
"2025-12","0.19",678
"2025-12","1.0.",440
"2025-12","1.1.",252
"2026-01","0.17",1
"2026-01","0.18",80
"2026-01","0.19",656
"2026-01","1.0.",350
"2026-01","1.1.",356
"2026-01","1.2.",25
"2026-02","0.17",1
"2026-02","0.18",68
"2026-02","0.19",637
"2026-02","1.0.",313
"2026-02","1.1.",247
"2026-02","1.2.",234
"2026-03","0.17",1
"2026-03","0.18",62
"2026-03","0.19",663
"2026-03","1.0.",304
"2026-03","1.1.",167
"2026-03","1.2.",453
"2026-03","1.3.",5
"2026-04","0.17",1
"2026-04","0.18",64
"2026-04","0.19",643
"2026-04","1.0.",250
"2026-04","1.1.",161
"2026-04","1.2.",273
"2026-04","1.3.",337
"2026-05","0.17",1
"2026-05","0.18",75
"2026-05","0.19",616
"2026-05","1.0.",218
"2026-05","1.1.",127
"2026-05","1.2.",190
"2026-05","1.3.",401
"2026-05","1.4.",64
"2026-06","0.17",1
"2026-06","0.18",52
"2026-06","0.19",495
"2026-06","1.0.",168
"2026-06","1.1.",102
"2026-06","1.2.",140
"2026-06","1.3.",261
"2026-06","1.4.",168
