"first_year_month","max_version_prefix","count"
"2024-11","0.17",1
"2024-11","0.18",44
"2024-11","0.19",285
"2024-12","0.17",1
"2024-12","0.18",41
"2024-12","0.19",239
"2025-01","0.18",33
"2025-01","0.19",282
"2025-02","0.18",27
"2025-02","0.19",267
"2025-03","0.18",26
"2025-03","0.19",331
"2025-04","0.18",26
"2025-04","0.19",314
"2025-05","0.17",1
"2025-05","0.18",23
"2025-05","0.19",318
"2025-06","0.17",1
"2025-06","0.18",23
"2025-06","0.19",298
"2025-07","0.18",20
"2025-07","0.19",302
"2025-07","1.0.",26
"2025-08","0.18",8
"2025-08","0.19",175
"2025-08","1.0.",137
"2025-09","0.18",5
"2025-09","0.19",178
"2025-09","1.0.",161
"2025-10","0.18",18
"2025-10","0.19",182
"2025-10","1.0.",212
"2025-11","0.18",15
"2025-11","0.19",155
"2025-11","1.0.",206
"2025-11","1.1.",6
"2025-12","0.18",12
"2025-12","0.19",122
"2025-12","1.0.",61
"2025-12","1.1.",83
"2026-01","0.18",11
"2026-01","0.19",125
"2026-01","1.0.",62
"2026-01","1.1.",103
"2026-01","1.2.",5
"2026-02","0.18",6
"2026-02","0.19",130
"2026-02","1.0.",61
"2026-02","1.1.",51
"2026-02","1.2.",82
"2026-03","0.18",8
"2026-03","0.19",154
"2026-03","1.0.",45
"2026-03","1.1.",36
"2026-03","1.2.",160
"2026-04","0.18",8
"2026-04","0.19",147
"2026-04","1.0.",44
"2026-04","1.1.",34
"2026-04","1.2.",32
"2026-04","1.3.",144
"2026-05","0.18",9
"2026-05","0.19",110
"2026-05","1.0.",21
"2026-05","1.1.",22
"2026-05","1.2.",29
"2026-05","1.3.",103
"2026-05","1.4.",19
"2026-06","0.18",2
"2026-06","0.19",19
"2026-06","1.0.",3
"2026-06","1.1.",2
"2026-06","1.2.",2
"2026-06","1.3.",7
"2026-06","1.4.",2
