PROJECT,DATE,COUNT
kedro,2020-01-01,357
kedro,2020-01-02,905
kedro,2020-01-03,778
kedro,2020-01-04,156
kedro,2020-01-05,202
kedro,2020-01-06,915
kedro,2020-01-07,1207
kedro,2020-01-08,1327
kedro,2020-01-09,1095
kedro,2020-01-10,936
kedro,2020-01-11,284
kedro,2020-01-12,225
kedro,2020-01-13,1111
kedro,2020-01-14,1375
kedro,2020-01-15,1493
kedro,2020-01-16,1148
kedro,2020-01-17,1021
kedro,2020-01-18,346
kedro,2020-01-19,418
kedro,2020-01-20,1100
kedro,2020-01-21,1370
kedro,2020-01-22,1312
kedro,2020-01-23,1344
kedro,2020-01-24,1206
kedro,2020-01-25,279
kedro,2020-01-26,240
kedro,2020-01-27,1260
kedro,2020-01-28,1551
kedro,2020-01-29,1362
kedro,2020-01-30,1351
kedro,2020-01-31,1202
kedro,2020-02-01,495
kedro,2020-02-02,550
kedro,2020-02-03,1530
kedro,2020-02-04,1348
kedro,2020-02-05,1668
kedro,2020-02-06,1380
kedro,2020-02-07,1146
kedro,2020-02-08,629
kedro,2020-02-09,526
kedro,2020-02-10,1786
kedro,2020-02-11,1727
kedro,2020-02-12,1683
kedro,2020-02-13,2124
kedro,2020-02-14,1243
kedro,2020-02-15,350
kedro,2020-02-16,346
kedro,2020-02-17,1175
kedro,2020-02-18,1575
kedro,2020-02-19,1914
kedro,2020-02-20,1641
kedro,2020-02-21,1734
kedro,2020-02-22,653
kedro,2020-02-23,281
kedro,2020-02-24,1356
kedro,2020-02-25,1504
kedro,2020-02-26,2253
kedro,2020-02-27,2277
kedro,2020-02-28,1939
kedro,2020-02-29,801
kedro,2020-03-01,548
kedro,2020-03-02,1821
kedro,2020-03-03,1777
kedro,2020-03-04,2048
kedro,2020-03-05,2312
kedro,2020-03-06,1509
kedro,2020-03-07,683
kedro,2020-03-08,682
kedro,2020-03-09,1689
kedro,2020-03-10,1748
kedro,2020-03-11,1411
kedro,2020-03-12,1383
kedro,2020-03-13,1107
kedro,2020-03-14,654
kedro,2020-03-15,703
kedro,2020-03-16,1320
kedro,2020-03-17,1562
kedro,2020-03-18,1401
kedro,2020-03-19,1543
kedro,2020-03-20,1420
kedro,2020-03-21,732
kedro,2020-03-22,538
kedro,2020-03-23,1414
kedro,2020-03-24,1418
kedro,2020-03-25,1687
kedro,2020-03-26,1428
kedro,2020-03-27,1161
kedro,2020-03-28,582
kedro,2020-03-29,675
kedro,2020-03-30,1112
kedro,2020-03-31,1438
kedro,2020-04-01,1635
kedro,2020-04-02,1826
kedro,2020-04-03,1857
kedro,2020-04-04,447
kedro,2020-04-05,474
kedro,2020-04-06,1695
kedro,2020-04-07,1766
kedro,2020-04-08,1575
kedro,2020-04-09,1474
kedro,2020-04-10,1114
kedro,2020-04-11,353
kedro,2020-04-12,705
kedro,2020-04-13,1058
kedro,2020-04-14,1727
kedro,2020-04-15,1847
kedro,2020-04-16,1592
kedro,2020-04-17,1197
kedro,2020-04-18,627
kedro,2020-04-19,618
kedro,2020-04-20,1007
kedro,2020-04-21,1166
kedro,2020-04-22,1110
kedro,2020-04-23,1437
kedro,2020-04-24,1202
kedro,2020-04-25,669
kedro,2020-04-26,779
kedro,2020-04-27,1634
kedro,2020-04-28,1609
kedro,2020-04-29,1335
kedro,2020-04-30,1151
kedro,2020-05-01,1241
kedro,2020-05-02,597
